imo,vessel_name,mmsi,sanctioned,date_added,current_flag,former_flags,false_flag,current_flag_clean
92444867,A JEWEL,636019531,False,2023-09-29,COOK ISLANDS,LIBERIA,False,COOK ISLANDS
9689031,A R G (EX: GOLDEN LOTUS),63601885,False,2022-04-29,BARBADOS,LIBERIA,False,BARBADOS
9247388,ABROS (EX: KUKKI)‡,314823000,False,2024-10-31,CURACAO (FALSE),BARBADOS,True,CURACAO
9234666,"ADELINE G (EX: NIERUS, ISAIAH)",636020335,False,2022-11-01,PANAMA,LIBERIA,False,PANAMA
9203784,ADITYA,750094000,True,2025-04-30,GUYANA (FALSE),,True,GUYANA
9242223,ADONIA (EX: SHUN TAI)‡,306124000,False,2025-02-28,SINT MAARTEN (FALSE),,True,SINT MAARTEN
9337389,AGNI (EX: GLAUCUS),353253000,True,2022-10-03,COMOROS (FALSE),"PANAMA, COMOROS",True,COMOROS
9142150,AKOYA GAS (EX: GAS ALLURE)‡,677067900,False,2022-12-01,UNKNOWN,TANZANIA,False,UNKNOWN
9053816,AL DIAB II (EX: AL MAHA),511100397,False,2024-09-30,PALAU,,False,PALAU
9222649,AL SAFA,352978129,False,2024-06-30,PANAMA,,False,PANAMA
9312509,"AL SIDDEEQ (EX ATLANTIC LOYALTY, EON, MAERSK NAVARIN, NAVARIN)",352005939,False,2025-08-22,PANAMA,"MARSHALL ISLANDS, LIBERIA, SINGAPORE",False,PANAMA
9198094,"ALA (EX: JOEL, JOLIE, BLUE STAR)",518998425,True,2021-04-16,GUYANA (FALSE),"CAMEROON, RUSSIA, PALAU, GUYANA (FALSE), SAO TOME & PRINCIPE",True,GUYANA
9155341,"ALAA (EX: DRAVIN, KANHA)",626209000,False,2023-11-01,PALAU,"GABON, ST KITTS & NEVIS",False,PALAU
9268112,"ALBA (EX: OLIA, ARC 1)",352001281,True,2022-04-29,CURACAO (FALSE),"PANAMA, GABON",True,CURACAO
8817693,ALBATROSS 1 (EX: ALPHA GAS)‡,677067100,False,2024-09-30,TANZANIA,,False,TANZANIA
9213313,ALBEDO (EX: ALITA I),352002570,False,2023-06-30,GABON,,False,GABON
9008101,ALHUSSEIN1 (EX: CAPTAIN NIKOLAS),354503000,False,2022-07-31,UNKNOWN,"PANAMA, COOK ISLANDS, TANZANIA",False,UNKNOWN
9244635,AMAK,353760000,True,2021-04-16,GAMBIA,"PANAMA, SWAZILAND, ESWATINI (FALSE)",False,GAMBIA
9235713,AMBER 6 (EX: ALVINA),,False,2025-10-31,TIMOR LESTE (FALSE),PANAMA,True,TIMOR LESTE
9257993,AMELL (EX: MISTRAL 1),352980858,True,2022-02-01,GAMBIA,"PANAMA, SAN MARINO, COOK ISLANDS",False,GAMBIA
9308778,"AMIL (EX: SATINA, AMELIA)",533132069,True,2022-01-03,GUINEA (FALSE),"PALAU, MALAYSIA, PANAMA, SINT MAARTEN (FALSE)",True,GUINEA
9182291,"AMOR (EX: ROMA, KARO)",,True,2021-04-16,CAMEROON,"COMOROS, PANAMA",False,CAMEROON
9246279,"ANABEL (EX: AVITAL, LAVAL, GIESSEL)",,True,2020-11-12,BOTSWANA (FALSE),"GAMBIA, CAMEROON, ST KITTS & NEVIS, TANZANIA",True,BOTSWANA
9121699,ANDIA,511100684,False,2024-05-31,PALAU,,False,PALAU
9197832,"ANDROMEDA V (EX: DIVINE, SERENE 1, ALISHA)",374483000,True,2022-11-01,CURACAO (FALSE),PANAMA,True,CURACAO
9208473,ANGEL K (EX: AZZA),371183000,False,2024-05-31,TANZANIA,"PANAMA, PALAU",False,TANZANIA
9354521,ANHONA,,True,2021-04-16,BELIZE (FALSE),"LIBERIA, BELIZE",True,BELIZE
9305609,ANIKA (EX: CELINE),352001369,True,2024-04-01,CURACAO (FALSE),PANAMA,True,CURACAO
9203253,ANITA,613203641,False,2020-11-12,GAMBIA,"CAMEROON, MICRONESIA, COOK ISLANDS, SUDAN",False,GAMBIA
9233208,"ANNA (EX: QUEEN SERE, RAIN DROP)",677079500,True,2021-06-21,CAMEROON,"TANZANIA, COOK ISLANDS, PANAMA, GUYANA (FALSE)",False,CAMEROON
9306457,ANNABEL (EX: ANNABELLE),538009027,False,2023-12-31,PANAMA,MARSHALL ISLANDS,False,PANAMA
9253117,ANSHUN II,356569000,False,2023-08-31,PANAMA,,False,PANAMA
9423322,APOLLO OCEAN (EX: PANSY),574005600,False,2023-11-01,VIETNAM,,False,VIETNAM
9299745,APUS (EX: HS ARGE),636022360,True,2024-04-30,ESWATINI (FALSE),LIBERIA,True,ESWATINI
9197727,AQUA SPIRIT (EX: SERENITY GAS),352001226,False,2025-01-31,PANAMA,,False,PANAMA
9258674,"AQUALIS (EX: ENI, DEMETER)",370921000,True,2024-04-01,GUYANA (FALSE),"COMOROS, PANAMA",True,GUYANA
9251822,AQUARIS,352003040,False,2023-12-01,PANAMA,,False,PANAMA
9417490,ARABIAN ENERGY‡,352001565,False,2024-06-30,CURACAO (FALSE),PANAMA,True,CURACAO
9321847,AREIA,,True,2026-05-12,UNKNOWN,,False,UNKNOWN
9174397,ARES (EX: LISA),518100992,False,2023-12-31,COOK ISLANDS,,False,COOK ISLANDS
9041643,ARGO MARIS,613003802,False,2023-11-01,HONDURAS,CAMEROON,False,HONDURAS
9464156,ARIHANT,511100268,False,2022-12-01,PALAU,,False,PALAU
9248813,"ARINA (EX: TALOSA, TJATSE, AKSTA)",353692000,False,2022-03-01,HONG KONG,PANAMA,False,HONG KONG
9227443,ARLAN (EX: INNOVA),574005230,False,2021-10-29,SIERRA LEONE,VIETNAM,False,SIERRA LEONE
9185528,ARTARA (EX: LIMO),35200499,False,2025-03-31,PANAMA,,False,PANAMA
9102241,ARTEMIS III (EX: AGLAIA; HAPON),33498300,False,2022-12-30,HONDURAS,,False,HONDURAS
9622069,"ASIA UNITY (EX: ORIENTAL RIDER, VORTEX PIONEER, ABLE SAILOR)",477004300,False,2022-08-01,SINGAPORE,HONG KONG,False,SINGAPORE
9288382,ASPHALT HONOR,477594500,False,2021-10-29,HONG KONG,,False,HONG KONG
9181194,"ASTERIX (EX: FELIX, PHOENIX, LERAX)",,True,2020-11-12,UNKNOWN,"CAMEROON, TANZANIA, ST KITTS & NEVIS, GAMBIA",False,UNKNOWN
9350422,"ASTRA (EX: TUNG, OUREA)",352002062,True,2023-11-01,GUYANA (FALSE),"PANAMA, COOK ISLANDS, COMOROS",True,GUYANA
9262754,ATILA,613769400,False,2023-04-28,CAMEROON,,False,CAMEROON
9233753,"ATILA (EX: ATILAN, HECATE)",355556000,True,2021-09-30,GUYANA (FALSE),"PANAMA, COMOROS, COMOROS (FALSE)",True,GUYANA
9229362,"ATLANTIS I (EX: ROAD, SAINT NICHOLAI)",,True,2021-04-16,CURACAO (FALSE),"DJIBOUTI, BARBADOS, IRAN",True,CURACAO
9257503,"ATLANTIS II (EX: PARINE, SEA BREEZE, JAG LARA)",,True,2020-11-12,IRAN,"DJIBOUTI, GABON, BARBADOS",False,IRAN
9218181,"ATLANTIS MZ (EX: TOMIE, CALI STAR)",511100378,False,2020-11-12,COMOROS (FALSE),"PALAU, LIBERIA",True,COMOROS
9274563,AURA (EX: VELA GAS),372406000,False,2022-09-01,COOK ISLANDS,PANAMA,False,COOK ISLANDS
9262912,AUROURA (EX: LADY SERENITY),352001225,False,2023-12-31,PANAMA,,False,PANAMA
9247986,"AVA 10 (EX: ERVINA, CRESTED, AMENITY)",352986167,False,2021-08-02,COOK ISLANDS,"PANAMA, LIBERIA",False,COOK ISLANDS
9226140,AVA 6,,False,2026-05-12,HONG KONG,,False,HONG KONG
9365764,AYDEN,352002097,True,2023-03-01,UNKNOWN,"PANAMA, SAN MA",False,UNKNOWN
9181649,AZURE VOYAGER (EX: AURORA RILEY),356024000,True,2024-09-30,GUYANA (FALSE),PANAMA,True,GUYANA
9256016,B LUMINOSA‡,621819076,False,2022-12-01,UNKNOWN,DJIBOUTI,False,UNKNOWN
9235244,BALU (EX: NEW GLOBAL),613469620,False,2021-04-16,CAMEROON,"PANAMA, MARSHALL ISLANDS",False,CAMEROON
9308998,BANGUS,,False,2026-05-12,BARBADOS,,False,BARBADOS
9080493,BARON (EX: DARAN),750275000,False,2024-05-31,GUYANA (FALSE),,True,GUYANA
9295282,BEGONIA 1,477113400,False,2025-02-28,UNKNOWN,,False,UNKNOWN
9230880,"BELLA 1 (EX: TIMIMIUS, NEOFIT, YANNIS)",636020336,True,2021-04-16,GUYANA (FALSE),"PALAU, LIBERIA, PANAMA",True,GUYANA
9289491,"BELMA (EX: BENDIGO, LEONOR)",352002412,True,2023-03-01,CURACAO (FALSE),"PANAMA, COOK ISLANDS, BARBADOS",True,CURACAO
9293155,BENEDICT,,False,2026-02-03,CAMEROON,,False,CAMEROON
9262168,BERG 1,370910000,True,2021-04-16,CURACAO (FALSE),"PANAMA, ESWATINI (FALSE)",True,CURACAO
9295593,BESTLA (EX: SHALIMAR),352003044,True,2023-08-31,PANAMA,,False,PANAMA
9340465,BIA,352001635,False,2024-01-31,COOK ISLANDS,PANAMA,False,COOK ISLANDS
9196632,BIANCA JOYSEL,352001069,False,2024-03-01,PANAMA,,False,PANAMA
9263215,"BIG MAG (EX: WIN WIN, COSGREAT LAKE)",356336000,False,2022-04-29,PANAMA,LIBERIA,False,PANAMA
9285756,BILI (EX: BLACK PANTHER)‡,37298800,False,2024-12-31,GAMBIA,PANAMA,False,GAMBIA
9284582,BIRTH YOUNG (EX: PANDA),574005540,True,2022-01-03,GUYANA (FALSE),VIETNAM,True,GUYANA
9251810,BLUEBELL (EX: CROSS OCEAN)‡,352002860,False,2024-10-31,CURACAO (FALSE),PANAMA,True,CURACAO
