mmsi,imo,name,flag,sanctioned,false_flag,date_added,fleet
636019531,92444867,A JEWEL,COOK ISLANDS,False,False,2023-09-29,Iran
63601885,9689031,A R G (EX: GOLDEN LOTUS),BARBADOS,False,False,2022-04-29,Iran
314823000,9247388,ABROS (EX: KUKKI)‡,CURACAO,False,True,2024-10-31,Iran
636020335,9234666,"ADELINE G (EX: NIERUS, ISAIAH)",PANAMA,False,False,2022-11-01,Iran
750094000,9203784,ADITYA,GUYANA,True,True,2025-04-30,Iran
306124000,9242223,ADONIA (EX: SHUN TAI)‡,SINT MAARTEN,False,True,2025-02-28,Iran
353253000,9337389,AGNI (EX: GLAUCUS),COMOROS,True,True,2022-10-03,Iran
677067900,9142150,AKOYA GAS (EX: GAS ALLURE)‡,UNKNOWN,False,False,2022-12-01,Iran
511100397,9053816,AL DIAB II (EX: AL MAHA),PALAU,False,False,2024-09-30,Iran
352978129,9222649,AL SAFA,PANAMA,False,False,2024-06-30,Iran
352005939,9312509,"AL SIDDEEQ (EX ATLANTIC LOYALTY, EON, MAERSK NAVARIN, NAVARIN)",PANAMA,False,False,2025-08-22,Iran
518998425,9198094,"ALA (EX: JOEL, JOLIE, BLUE STAR)",GUYANA,True,True,2021-04-16,Iran
626209000,9155341,"ALAA (EX: DRAVIN, KANHA)",PALAU,False,False,2023-11-01,Iran
352001281,9268112,"ALBA (EX: OLIA, ARC 1)",CURACAO,True,True,2022-04-29,Iran
677067100,8817693,ALBATROSS 1 (EX: ALPHA GAS)‡,TANZANIA,False,False,2024-09-30,Iran
352002570,9213313,ALBEDO (EX: ALITA I),GABON,False,False,2023-06-30,Iran
354503000,9008101,ALHUSSEIN1 (EX: CAPTAIN NIKOLAS),UNKNOWN,False,False,2022-07-31,Iran
353760000,9244635,AMAK,GAMBIA,True,False,2021-04-16,Iran
,9235713,AMBER 6 (EX: ALVINA),TIMOR LESTE,False,True,2025-10-31,Iran
352980858,9257993,AMELL (EX: MISTRAL 1),GAMBIA,True,False,2022-02-01,Iran
533132069,9308778,"AMIL (EX: SATINA, AMELIA)",GUINEA,True,True,2022-01-03,Iran
511100684,9121699,ANDIA,PALAU,False,False,2024-05-31,Iran
374483000,9197832,"ANDROMEDA V (EX: DIVINE, SERENE 1, ALISHA)",CURACAO,True,True,2022-11-01,Iran
371183000,9208473,ANGEL K (EX: AZZA),TANZANIA,False,False,2024-05-31,Iran
352001369,9305609,ANIKA (EX: CELINE),CURACAO,True,True,2024-04-01,Iran
613203641,9203253,ANITA,GAMBIA,False,False,2020-11-12,Iran
677079500,9233208,"ANNA (EX: QUEEN SERE, RAIN DROP)",CAMEROON,True,False,2021-06-21,Iran
538009027,9306457,ANNABEL (EX: ANNABELLE),PANAMA,False,False,2023-12-31,Iran
356569000,9253117,ANSHUN II,PANAMA,False,False,2023-08-31,Iran
574005600,9423322,APOLLO OCEAN (EX: PANSY),VIETNAM,False,False,2023-11-01,Iran
636022360,9299745,APUS (EX: HS ARGE),ESWATINI,True,True,2024-04-30,Iran
352001226,9197727,AQUA SPIRIT (EX: SERENITY GAS),PANAMA,False,False,2025-01-31,Iran
370921000,9258674,"AQUALIS (EX: ENI, DEMETER)",GUYANA,True,True,2024-04-01,Iran
352003040,9251822,AQUARIS,PANAMA,False,False,2023-12-01,Iran
352001565,9417490,ARABIAN ENERGY‡,CURACAO,False,True,2024-06-30,Iran
518100992,9174397,ARES (EX: LISA),COOK ISLANDS,False,False,2023-12-31,Iran
613003802,9041643,ARGO MARIS,HONDURAS,False,False,2023-11-01,Iran
511100268,9464156,ARIHANT,PALAU,False,False,2022-12-01,Iran
353692000,9248813,"ARINA (EX: TALOSA, TJATSE, AKSTA)",HONG KONG,False,False,2022-03-01,Iran
574005230,9227443,ARLAN (EX: INNOVA),SIERRA LEONE,False,False,2021-10-29,Iran
35200499,9185528,ARTARA (EX: LIMO),PANAMA,False,False,2025-03-31,Iran
33498300,9102241,ARTEMIS III (EX: AGLAIA; HAPON),HONDURAS,False,False,2022-12-30,Iran
477004300,9622069,"ASIA UNITY (EX: ORIENTAL RIDER, VORTEX PIONEER, ABLE SAILOR)",SINGAPORE,False,False,2022-08-01,Iran
477594500,9288382,ASPHALT HONOR,HONG KONG,False,False,2021-10-29,Iran
352002062,9350422,"ASTRA (EX: TUNG, OUREA)",GUYANA,True,True,2023-11-01,Iran
613769400,9262754,ATILA,CAMEROON,False,False,2023-04-28,Iran
355556000,9233753,"ATILA (EX: ATILAN, HECATE)",GUYANA,True,True,2021-09-30,Iran
511100378,9218181,"ATLANTIS MZ (EX: TOMIE, CALI STAR)",COMOROS,False,True,2020-11-12,Iran
372406000,9274563,AURA (EX: VELA GAS),COOK ISLANDS,False,False,2022-09-01,Iran
352001225,9262912,AUROURA (EX: LADY SERENITY),PANAMA,False,False,2023-12-31,Iran
352986167,9247986,"AVA 10 (EX: ERVINA, CRESTED, AMENITY)",COOK ISLANDS,False,False,2021-08-02,Iran
352002097,9365764,AYDEN,UNKNOWN,True,False,2023-03-01,Iran
356024000,9181649,AZURE VOYAGER (EX: AURORA RILEY),GUYANA,True,True,2024-09-30,Iran
621819076,9256016,B LUMINOSA‡,UNKNOWN,False,False,2022-12-01,Iran
613469620,9235244,BALU (EX: NEW GLOBAL),CAMEROON,False,False,2021-04-16,Iran
750275000,9080493,BARON (EX: DARAN),GUYANA,False,True,2024-05-31,Iran
477113400,9295282,BEGONIA 1,UNKNOWN,False,False,2025-02-28,Iran
636020336,9230880,"BELLA 1 (EX: TIMIMIUS, NEOFIT, YANNIS)",GUYANA,True,True,2021-04-16,Iran
352002412,9289491,"BELMA (EX: BENDIGO, LEONOR)",CURACAO,True,True,2023-03-01,Iran
370910000,9262168,BERG 1,CURACAO,True,True,2021-04-16,Iran
352003044,9295593,BESTLA (EX: SHALIMAR),PANAMA,True,False,2023-08-31,Iran
352001635,9340465,BIA,COOK ISLANDS,False,False,2024-01-31,Iran
352001069,9196632,BIANCA JOYSEL,PANAMA,False,False,2024-03-01,Iran
356336000,9263215,"BIG MAG (EX: WIN WIN, COSGREAT LAKE)",PANAMA,False,False,2022-04-29,Iran
37298800,9285756,BILI (EX: BLACK PANTHER)‡,GAMBIA,False,False,2024-12-31,Iran
574005540,9284582,BIRTH YOUNG (EX: PANDA),GUYANA,True,True,2022-01-03,Iran
352002860,9251810,BLUEBELL (EX: CROSS OCEAN)‡,CURACAO,False,True,2024-10-31,Iran
511100464,9267132,BOCEANICA‡,UNKNOWN,False,False,2022-12-01,Iran
613003728,9144782,"BODHI (EX: ROBON, TURBA, PELICAN)",CAMEROON,False,False,2021-09-30,Iran
511100387,9220914,"BONETTA (EX: BRANDLY, BIRDHUM)",COOK ISLANDS,False,False,2024-04-30,Iran
354451000,9259355,BREEZE V,BARBADOS,False,False,2022-12-01,Iran
374670000,9171503,BRIGHT GOLD,PANAMA,False,False,2025-01-31,Iran
621819070,9282443,BUENO‡,UNKNOWN,False,False,2022-12-01,Iran
477632800,9252436,CALLISTO (EX: STARRY),HONG KONG,False,False,2024-01-31,Iran
341575000,9070072,CAMELIA (EX: CAROL)‡,GUYANA,False,True,2024-10-31,Iran
419001990,9299680,CANGJIE‡,INDIA,False,False,,Iran
574005290,9258882,"CARCHARODON (EX: MILA, LEGEND)",PALAU,False,False,2022-07-31,Iran
352001522,9410234,CARINA I (EX: AFRODITA I),UNKNOWN,False,False,2022-12-01,Iran
511101127,9137648,CARUZO,SIERRA LEONE,False,False,2024-01-31,Iran
352001485,9310159,CATALINA 7,UNKNOWN,True,False,2023-12-01,Iran
67705430,9005493,CAYKA (EX: MARINA)‡,TANZANIA,False,False,2024-09-30,Iran
352003955,9276585,CH BILLION,UNKNOWN,True,False,2024-09-30,Iran
