mmsi,imo,name,destination,fleet_source
314968000,9316127,,,GUR_Russia
314984000,9412335,,,GUR_Russia
314967000,9311622,,,GUR_Russia
352004581,9271585,,,GUR_Russia
314983000,9511521,,,GUR_Russia
314919000,9511533,,,GUR_Russia
626244000,9321691,,,GUR_Russia
626315000,9321706,,,GUR_Russia
352004885,9319870,,,GUR_Russia
352002470,9253325,,,GUR_Russia
273250930,9341093,,,GUR_Russia
314979000,9522324,,,GUR_Russia
314966000,9511387,,,GUR_Russia
314892000,9339337,,,GUR_Russia
273251530,9413559,,,GUR_Russia
314906000,9843560,,,GUR_Russia
314937000,9413547,,,GUR_Russia
626282000,9304825,,,GUR_Russia
621819092,9299733,,,GUR_Russia
314889000,9339325,,,GUR_Russia
352001616,9296822,,,GUR_Russia
352003366,9354301,,,GUR_Russia
314920000,9306794,,,GUR_Russia
352003221,9224441,,,GUR_Russia
636022303,9242223,,,GUR_Russia
314913000,9288899,,,GUR_Russia
626292000,9290335,,,GUR_Russia
352002003,9290309,,,GUR_Russia
630001163,9319882,,,GUR_Russia
273254130,9256078,,,GUR_Russia
461000286,9310525,QENDIL,,GUR_Russia
352002588,9544281,,,GUR_Russia
352004960,9345623,,,GUR_Russia
273259630,9249128,,,GUR_Russia
314921000,9292204,,,GUR_Russia
352001732,9314088,,,GUR_Russia
352001510,9321976,,,GUR_Russia
314895000,9413573,,,GUR_Russia
626390000,9312896,,,GUR_Russia
�314914000,9331153,,,GUR_Russia
334916000,9288693,,,GUR_Russia
314996000,9247883,,,GUR_Russia
667002317,9233741,,,GUR_Russia
352004666,9296406,,,GUR_Russia
518998876,9318539,SWIFTSEA RIDER,,GUR_Russia
273259430,9339313,,,GUR_Russia
511100566,9194995,,,GUR_Russia
574005280,9258868,,,GUR_Russia
632001087,9322839,,,GUR_Russia
351588000,9283289,,,GUR_Russia
621819096,9317949,,,GUR_Russia
626312000,9332834,,,GUR_Russia
352003056,9388780,,,GUR_Russia
314916000,9331141,,,GUR_Russia
626289000,9337901,,,GUR_Russia
352003147,9332781,,,GUR_Russia
314839000,9387255,,,GUR_Russia
352002137,9259197,,,GUR_Russia
613833000,9168946,,,GUR_Russia
352002495,9281891,,,GUR_Russia
352003222,9224465,,,GUR_Russia
352003620,9416422,,,GUR_Russia
613003808,9185528,,,GUR_Russia
273258910,9299719,,,GUR_Russia
314942000,9299692,,,GUR_Russia
626281000,9311531,,,GUR_Russia
312242000,9233349,,,GUR_Russia
621819005,9436941,,,GUR_Russia
574005330,9326720,,,GUR_Russia
352003364,9354313,,,GUR_Russia
334913000,9408205,,,GUR_Russia
334902000,9285835,,,GUR_Russia
334029000,9288722,,,GUR_Russia
667002369,9301524,,,GUR_Russia
667002333,9187227,,,GUR_Russia
314001002,9314105,,,GUR_Russia
518998787,9224283,,,GUR_Russia
314909000,9296391,,,GUR_Russia
636022764,9408695,,,GUR_Russia
352003068,9315654,,,GUR_Russia
667002321,9260823,,,GUR_Russia
352002861,9589750,,,GUR_Russia
314965000,9412347,,,GUR_Russia
352002168,9524463,,,GUR_Russia
352001925,9513139,,,GUR_Russia
314989000,9421972,,,GUR_Russia
621819020,9299666,,,GUR_Russia
613003744,9183271,,,GUR_Russia
�626475000,9418482,,,GUR_Russia
�352001958,9282493,,,GUR_Russia
518998625,9288710,,,GUR_Russia
352002809,9346720,KIRA K,,GUR_Russia
352001387,9235713,,,GUR_Russia
352002801,9297357,,,GUR_Russia
314962000,9305568,,,GUR_Russia
352001452,9321847,,,GUR_Russia
442303030,9388792,,,GUR_Russia
636022403,9410870,,,GUR_Russia
621819067,9281011,,,GUR_Russia
314975000,9288851,,,GUR_Russia
352002926,9388766,,,GUR_Russia
621819008,9402471,,,GUR_Russia
�677064000,9826902,,,GUR_Russia
314001030,9434890,,,GUR_Russia
621819095,9378620,,,GUR_Russia
352003443,9293155,,,GUR_Russia
273257910,9306782,,,GUR_Russia
352002674,9336426,,,GUR_Russia
352002845,9247792,,,GUR_Russia
518999148,9183295,,,GUR_Russia
352003102,9404948,,,GUR_Russia
626313000,9293002,JAGUAR,,GUR_Russia
268242902,9237412,,,GUR_Russia
352002486,9436006,,,GUR_Russia
334099000,9299898,,,GUR_Russia
334920000,9285859,,,GUR_Russia
632001101,9274616,,,GUR_Russia
352003251,9832547,,,GUR_Russia
352003207,9832559,,,GUR_Russia
273259910,9258002,,,GUR_Russia
314911000,9394935,,,GUR_Russia
314679000,9422988,,,GUR_Russia
334919000,9321689,,,GUR_Russia
667002362,9207027,,,GUR_Russia
636024230,9234642,,,GUR_Russia
636018885,9274446,,,GUR_Russia
273255610,9421960,,,GUR_Russia
312325000,9231509,,,GUR_Russia
273250630,9411020,,,GUR_Russia
352001823,9308077,,,GUR_Russia
314001001,9249312,,,GUR_Russia
477113600,9194983,,,GUR_Russia
304736000,9293117,,,GUR_Russia
273259230,9270529,,,GUR_Russia
352002661,9232931,,,GUR_Russia
273251810,9256066,,,GUR_Russia
334917000,9288708,,,GUR_Russia
574005510,9374868,,,GUR_Russia
352002872,9392822,,,GUR_Russia
518999319,9270517,,,GUR_Russia
626226000,9319703,,,GUR_Russia
632001084,9381732,,,GUR_Russia
314994000,9389679,,,GUR_Russia
352003485,9402469,,,GUR_Russia
352002820,9388754,,,GUR_Russia
613670000,9206671,,,GUR_Russia
518999121,9288734,,,GUR_Russia
632001090,9412995,,,GUR_Russia
353744000,9264570,,,GUR_Russia
620999422,9337389,,,GUR_Russia
�620999375,9237228,,,GUR_Russia
613003807,9131357,,,GUR_Russia
352002243,9417464,,,GUR_Russia
613003728,9144782,,,GUR_Russia
314992000,9304356,,,GUR_Russia
352002205,9301392,,,GUR_Russia
667002327,9326718,,,GUR_Russia
352002772,9255660,,,GUR_Russia
305014000,9292503,,,GUR_Russia
352002791,9383950,,,GUR_Russia
352004367,9299769,,,GUR_Russia
352002179,9524451,,,GUR_Russia
632001107,9322827,,,GUR_Russia
352002280,9530917,,,GUR_Russia
518998343,9263643,,,GUR_Russia
352002195,9301380,,,GUR_Russia
352002204,9301407,,,GUR_Russia
352002198,9301419,,,GUR_Russia
352002197,9301421,,,GUR_Russia
314964000,9341081,,,GUR_Russia
352002194,9360128,,,GUR_Russia
352002196,9360130,,,GUR_Russia
273259530,9412359,,,GUR_Russia
314938000,9413561,,,GUR_Russia
352002209,9418494,,,GUR_Russia
314985000,9422457,,,GUR_Russia
314950000,9610781,,,GUR_Russia
352002203,9901025,,,GUR_Russia
352002208,9901037,,,GUR_Russia
352002122,9346732,,,GUR_Russia
423205100,9284116,,,GUR_Russia
423046100,9397676,,,GUR_Russia
423242100,9347231,KOROGLU,,GUR_Russia
632001089,9410894,,,GUR_Russia
352002942,9247780,,,GUR_Russia
273253500,9283241,,,GUR_Russia
352003752,9233765,,,GUR_Russia
304743000,9232929,,,GUR_Russia
636016693,9259599,,,GUR_Russia
632001100,9322267,,,GUR_Russia
632001112,9381744,,,GUR_Russia
314915000,9286657,,,GUR_Russia
620999378,9259185,,,GUR_Russia
626287000,9353096,,,GUR_Russia
352002666,9248801,,,GUR_Russia
273259970,9655470,,,GUR_Russia
352004930,9353125,,,GUR_Russia
314972000,9276030,,,GUR_Russia
314956000,9292060,,,GUR_Russia
314947000,9309588,,,GUR_Russia
314897000,9318541,,,GUR_Russia
314958000,9322968,,,GUR_Russia
314955000,9333400,,,GUR_Russia
314893000,9333436,,,GUR_Russia
314953000,9382798,,,GUR_Russia
314931000,9397535,,,GUR_Russia
314948000,9397547,,,GUR_Russia
314945000,9577082,,,GUR_Russia
334891000,9289518,,,GUR_Russia
314974000,9248796,,,GUR_Russia
630001099,9263203,,,GUR_Russia
630001117,9308132,,,GUR_Russia
538011255,9356751,SEA RAPTOR,,GUR_Russia
630001103,9263186,,,GUR_Russia
352003750,9292589,,,GUR_Russia
667002316,9265885,,,GUR_Russia
511100943,9290921,,,GUR_Russia
518998779,9294123,,,GUR_Russia
273332580,9683726,,,GUR_Russia
273432830,9105140,,,GUR_Russia
273436640,9171175,,,GUR_Russia
273380170,9749154,,,GUR_Russia
273353450,9640516,,,GUR_Russia
273354450,9640528,,,GUR_Russia
273339920,9435363,,,GUR_Russia
273332530,9435375,,,GUR_Russia
352002676,9360415,,,GUR_Russia
626291000,9327372,,,GUR_Russia
626318000,9290517,,,GUR_Russia
273617650,9282986,,,GUR_Russia
273616650,9288930,,,GUR_Russia
574322000,9255830,,,GUR_Russia
574005290,9258882,,,GUR_Russia
355804000,9222560,,,GUR_Russia
374024000,9234501,,,GUR_Russia
